_id,entity_ids,entity
ObjectID(54446952474d79458e26f5f0),"[ { ""$oid"" : ""54446952474d79458e26f5ef"" } ]","tell"
ObjectID(54446952474d79458e26f5f2),"[ { ""$oid"" : ""54446952474d79458e26f5f1"" } ]","fighter"
ObjectID(54446952474d79458e26f5f5),"[ { ""$oid"" : ""54446952474d79458e26f5f4"" } ]","larg"
ObjectID(54446952474d79458e26f5f7),"[ { ""$oid"" : ""54446952474d79458e26f5f6"" } ]","shia"
ObjectID(54446952474d79458e26f5f9),"[ { ""$oid"" : ""54446952474d79458e26f5f8"" } ]","islamicstate anbar iraq"
ObjectID(54446952474d79458e26f5fb),"[ { ""$oid"" : ""54446952474d79458e26f5fa"" } ]","albu khanfar"
ObjectID(54446952474d79458e26f5fe),"[ { ""$oid"" : ""54446952474d79458e26f5fd"" } ]","facebook"
ObjectID(54446952474d79458e26f601),"[ { ""$oid"" : ""54446952474d79458e26f600"" } ]","africa"
ObjectID(54446952474d79458e26f603),"[ { ""$oid"" : ""54446952474d79458e26f602"" } ]","middle east"
ObjectID(54446952474d79458e26f605),"[ { ""$oid"" : ""54446952474d79458e26f604"" } ]","asia"
ObjectID(54446952474d79458e26f608),"[ { ""$oid"" : ""54446952474d79458e26f607"" } ]","ia"
ObjectID(54446952474d79458e26f60a),"[ { ""$oid"" : ""54446952474d79458e26f609"" } ]","watch"
ObjectID(54446952474d79458e26f60c),"[ { ""$oid"" : ""54446952474d79458e26f60b"" } ]","pakistan taliban"
ObjectID(54446952474d79458e26f60f),"[ { ""$oid"" : ""54446952474d79458e26f60e"" } ]","mosul freedom"
ObjectID(54446952474d79458e26f611),"[ { ""$oid"" : ""54446952474d79458e26f610"" } ]","women"
ObjectID(54446952474d79458e26f614),"[ { ""$oid"" : ""54446952474d79458e26f613"" } ]","iraq khilafah"
ObjectID(54446952474d79458e26f616),"[ { ""$oid"" : ""54446952474d79458e26f615"" } ]","wilayat"
ObjectID(54446952474d79458e26f618),"[ { ""$oid"" : ""54446952474d79458e26f617"" } ]","shia safavid armi"
ObjectID(54446953474d79458e26f624),"[ { ""$oid"" : ""54446953474d79458e26f623"" } ]","mujahid abu sae"
ObjectID(54446953474d79458e26f626),"[ { ""$oid"" : ""54446953474d79458e26f625"" } ]","david_cameron"
ObjectID(54446953474d79458e26f629),"[ { ""$oid"" : ""54446953474d79458e26f628"" } ]","beiji"
ObjectID(54446953474d79458e26f62b),"[ { ""$oid"" : ""54446953474d79458e26f62a"" } ]","baghdad iraq"
ObjectID(54446953474d79458e26f62d),"[ { ""$oid"" : ""54446953474d79458e26f62c"" } ]","isf"
ObjectID(54446953474d79458e26f630),"[ { ""$oid"" : ""54446953474d79458e26f62f"" } ]","wake"
ObjectID(54446953474d79458e26f633),"[ { ""$oid"" : ""54446953474d79458e26f632"" } ]","shamiwit"
ObjectID(54446953474d79458e26f635),"[ { ""$oid"" : ""54446953474d79458e26f634"" } ]","lol"
ObjectID(54446953474d79458e26f638),"[ { ""$oid"" : ""54446953474d79458e26f637"" } ]","hajj"
ObjectID(54446953474d79458e26f63b),"[ { ""$oid"" : ""54446953474d79458e26f63a"" } ]","jordan"
ObjectID(54446953474d79458e26f63f),"[ { ""$oid"" : ""54446953474d79458e26f63e"" } ]","ax863"
ObjectID(54446953474d79458e26f641),"[ { ""$oid"" : ""54446953474d79458e26f640"" } ]","freeaafiasiddiqui"
ObjectID(54446953474d79458e26f644),"[ { ""$oid"" : ""54446953474d79458e26f643"" } ]","ayn"
ObjectID(54446953474d79458e26f646),"[ { ""$oid"" : ""54446953474d79458e26f645"" } ]","ypg"
ObjectID(54446953474d79458e26f649),"[ { ""$oid"" : ""54446953474d79458e26f648"" } ]","global coalition raid"
ObjectID(54446953474d79458e26f64c),"[ { ""$oid"" : ""54446953474d79458e26f64b"" } ]","nusayri warplan"
ObjectID(54446953474d79458e26f64e),"[ { ""$oid"" : ""54446953474d79458e26f64d"" } ]","which"
ObjectID(54446953474d79458e26f650),"[ { ""$oid"" : ""54446953474d79458e26f64f"" } ]","wilaayat hom"
ObjectID(54446953474d79458e26f653),"[ { ""$oid"" : ""54446953474d79458e26f652"" } ]","dust"
ObjectID(54446953474d79458e26f655),"[ { ""$oid"" : ""54446953474d79458e26f654"" } ]","miracl"
ObjectID(54446953474d79458e26f658),"[ { ""$oid"" : ""54446953474d79458e26f657"" } ]","islamicstate wilaayat aleppo soldi"
ObjectID(54446953474d79458e26f65c),"[ { ""$oid"" : ""54446953474d79458e26f65b"" } ]","is part"
ObjectID(54446953474d79458e26f65e),"[ { ""$oid"" : ""54446953474d79458e26f65d"" } ]","islamicstate wilaayat"
ObjectID(54446953474d79458e26f661),"[ { ""$oid"" : ""54446953474d79458e26f660"" } ]","islamic state armi"
ObjectID(54446953474d79458e26f664),"[ { ""$oid"" : ""54446953474d79458e26f663"" } ]","isis kirkuk kil"
ObjectID(54446953474d79458e26f666),"[ { ""$oid"" : ""54446953474d79458e26f665"" } ]","confront lion"
ObjectID(54446953474d79458e26f668),"[ { ""$oid"" : ""54446953474d79458e26f667"" } ]","daquq"
ObjectID(54446953474d79458e26f66b),"[ { ""$oid"" : ""54446953474d79458e26f66a"" } ]","municipal office effort"
ObjectID(54446953474d79458e26f66d),"[ { ""$oid"" : ""54446953474d79458e26f66c"" } ]","rutbah"
ObjectID(54446953474d79458e26f671),"[ { ""$oid"" : ""54446953474d79458e26f670"" } ]","raja club athlet"
ObjectID(54446953474d79458e26f673),"[ { ""$oid"" : ""54446953474d79458e26f672"" } ]","casablanca"
ObjectID(54446953474d79458e26f675),"[ { ""$oid"" : ""54446953474d79458e26f674"" } ]","moroccan"
ObjectID(54446953474d79458e26f678),"[ { ""$oid"" : ""54446953474d79458e26f677"" } ]","allahuma nasrak"
ObjectID(54446953474d79458e26f67c),"[ { ""$oid"" : ""54446953474d79458e26f67b"" } ]","baghdad"
ObjectID(54446953474d79458e26f67e),"[ { ""$oid"" : ""54446953474d79458e26f67d"" } ]","raf tornado"
ObjectID(54446953474d79458e26f682),"[ { ""$oid"" : ""54446953474d79458e26f681"" } ]","tuz"
ObjectID(54446953474d79458e26f685),"[ { ""$oid"" : ""54446953474d79458e26f684"" } ]","al nusra"
ObjectID(54446953474d79458e26f687),"[ { ""$oid"" : ""54446953474d79458e26f686"" } ]","shaam"
ObjectID(54446953474d79458e26f689),"[ { ""$oid"" : ""54446953474d79458e26f688"" } ]","ahrar"
ObjectID(54446954474d79458e26f68d),"[ { ""$oid"" : ""54446954474d79458e26f68c"" } ]","is"
ObjectID(54446954474d79458e26f68f),"[ { ""$oid"" : ""54446954474d79458e26f68e"" }, { ""$oid"" : ""54454403474d79458e27a395"" } ]","houthi"
ObjectID(54446954474d79458e26f691),"[ { ""$oid"" : ""54446954474d79458e26f690"" } ]","bayda yemen"
ObjectID(54446954474d79458e26f693),"[ { ""$oid"" : ""54446954474d79458e26f692"" } ]","yemeni"
ObjectID(54446954474d79458e26f696),"[ { ""$oid"" : ""54446954474d79458e26f695"" } ]","khurasan"
ObjectID(54446954474d79458e26f699),"[ { ""$oid"" : ""54446954474d79458e26f698"" } ]","deir"
ObjectID(54446954474d79458e26f69c),"[ { ""$oid"" : ""54446954474d79458e26f69b"" } ]","ya"
ObjectID(54446954474d79458e26f69e),"[ { ""$oid"" : ""54446954474d79458e26f69d"" } ]","ummata"
ObjectID(54446954474d79458e26f6a0),"[ { ""$oid"" : ""54446954474d79458e26f69f"" } ]","islamicstate ummah"
ObjectID(54446954474d79458e26f6a3),"[ { ""$oid"" : ""54446954474d79458e26f6a2"" } ]","faisal"
ObjectID(54446954474d79458e26f6a5),"[ { ""$oid"" : ""54446954474d79458e26f6a4"" } ]","ksa"
ObjectID(54446954474d79458e26f6a8),"[ { ""$oid"" : ""54446954474d79458e26f6a7"" } ]","usa"
ObjectID(54446954474d79458e26f6ab),"[ { ""$oid"" : ""54446954474d79458e26f6aa"" } ]","arsal"
ObjectID(54446954474d79458e26f6ad),"[ { ""$oid"" : ""54446954474d79458e26f6ac"" } ]","hezbollah"
ObjectID(54446954474d79458e26f6b0),"[ { ""$oid"" : ""54446954474d79458e26f6af"" } ]","qatar"
ObjectID(54446954474d79458e26f6b3),"[ { ""$oid"" : ""54446954474d79458e26f6b2"" } ]","aalaw_"
ObjectID(54446954474d79458e26f6b7),"[ { ""$oid"" : ""54446954474d79458e26f6b6"" } ]","us"
ObjectID(54446954474d79458e26f6ba),"[ { ""$oid"" : ""54446954474d79458e26f6b9"" } ]","ansar"
ObjectID(54446954474d79458e26f6bc),"[ { ""$oid"" : ""54446954474d79458e26f6bb"" } ]","jawf yemen"
ObjectID(54446954474d79458e26f6be),"[ { ""$oid"" : ""54446954474d79458e26f6bd"" } ]","shariah"
ObjectID(54446954474d79458e26f6c0),"[ { ""$oid"" : ""54446954474d79458e26f6bf"" } ]","muawiyah"
ObjectID(54446954474d79458e26f6c3),"[ { ""$oid"" : ""54446954474d79458e26f6c2"" } ]","list"
ObjectID(54446954474d79458e26f6c6),"[ { ""$oid"" : ""54446954474d79458e26f6c5"" } ]","archbishop"
ObjectID(54446954474d79458e26f6c9),"[ { ""$oid"" : ""54446954474d79458e26f6c8"" } ]","assad"
ObjectID(54446954474d79458e26f6cb),"[ { ""$oid"" : ""54446954474d79458e26f6ca"" } ]","albab"
