Id,Label,screen_name,weight,In-Degree,Out-Degree,Degree,Modularity Class,Clustering Coefficient,Eigenvector Centrality
717841975,Xycehxan,Xycehxan,1,2,0,2,3,0,0.028481261
1013605980,aqushchi,aqushchi,1,4,0,4,3,0.41666666,0.087877713
2343659174,Ajnad_Sham,Ajnad_Sham,1,0,1,1,3,0,0
54453877,Ibrahim_Khan,Ibrahim_Khan,1,0,1,1,3,0,0
2444125892,mustapha_alger,mustapha_alger,1,1,0,1,3,0,0.024711015
2820209613,MKurdiyah,MKurdiyah,1,2,0,2,3,0,0.028481261
2811487953,majdimaram,majdimaram,1,1,0,1,3,0,0.024711015
2756536039,66A6_,66A6_,1,1,0,1,3,0,0.024711015
1270212445,bathily_ousmane,bathily_ousmane,1,1,0,1,3,0,0.024711015
263225101,ALHmadani,ALHmadani,1,0,1,1,3,0,0
1031792569,S_IslamicFront,S_IslamicFront,1,0,2,2,3,1,0
213182436,Bridget_PJM,Bridget_PJM,1,1,0,1,3,0,0.024711015
2801362930,BintWater,BintWater,1,0,2,2,3,1,0
408479814,Aadilzargar,Aadilzargar,1,2,0,2,3,0.5,0.058102608
2279106649,AbuOsman11119,AbuOsman11119,1,1,0,1,3,0,0.024711015
2424891526,abuhussain9275,abuhussain9275,1,0,1,1,3,0,0
253323475,jbck24,jbck24,1,1,0,1,3,0,0.024711015
2782717557,UmmahMonitor,UmmahMonitor,1,1,0,1,3,0,0.024711015
2188765454,Abo_Saleh_T,Abo_Saleh_T,1,0,1,1,3,0,0
2813191903,AdamB2B1,AdamB2B1,1,2,1,3,3,0.5,0.058102608
18671937,V_FreaKy,V_FreaKy,1,1,0,1,3,0,0.024711015
2828161421,abi_mavi,abi_mavi,1,1,0,1,3,0,0.024711015
2610719064,teddymedina4,teddymedina4,1,1,0,1,3,0,0.024711015
1065150858,Soufiane004,Soufiane004,1,2,0,2,3,1,0.073645766
2537580957,abu_imaad,abu_imaad,1,1,0,1,3,0,0.024711015
2349885854,hildo58,hildo58,1,2,0,2,3,1,0.073645766
2643710369,AbuFullaan,AbuFullaan,1,2,0,2,3,1,0.073645766
2735729108,mohammed_2990,mohammed_2990,1,2,0,2,3,1,0.073645766
2692573726,ilhameyasin321,ilhameyasin321,1,3,0,3,3,0.6666667,0.084107467
2705812085,mzpinguin,mzpinguin,1,1,0,1,3,0,0.024711015
584936124,us_4_all,us_4_all,1,0,1,1,3,0,0
2495933175,MomosauerG,MomosauerG,1,3,0,3,3,0.8333333,0.10703736
877882134,DQ_HaXxa,DQ_HaXxa,1,2,0,2,3,1,0.073645766
540207913,ssoo1995,ssoo1995,1,0,1,1,3,0,0
17066868,ummulabeerah,ummulabeerah,1,1,0,1,3,0,0.024711015
2584537987,MujahidaHafy,MujahidaHafy,1,1,0,1,3,0,0.024711015
2581769610,munawargilani1,munawargilani1,1,1,0,1,3,0,0.024711015
510553015,InfoGlobi_Lajme,InfoGlobi_Lajme,1,3,0,3,3,0.8333333,0.10703736
2204756970,taimallah1435,taimallah1435,1,0,1,1,3,0,0
2694736958,AbuHanna554,AbuHanna554,1,4,0,4,3,0.41666666,0.087877713
2827709575,fostatalgootah,fostatalgootah,1,0,1,1,3,0,0
361196702,Rehmanrj,Rehmanrj,1,2,0,2,3,0.5,0.058102608
502492330,ahmad_syr7,ahmad_syr7,1,1,0,1,3,0,0.024711015
2790714663,ahkishaykh,ahkishaykh,1,2,0,2,3,1,0.073645766
1976921455,abed_salame,abed_salame,1,0,2,2,3,1,0
2204986748,shame_5,shame_5,1,0,1,1,3,0,0
2725735881,vu_vu_zella,vu_vu_zella,1,1,0,1,3,0,0.024711015
2835475915,UmmBest,UmmBest,1,3,0,3,3,0.16666667,0.061872854
2769703501,abuameer0067,abuameer0067,1,1,0,1,3,0,0.024711015
97086952,RandyEBarnett,RandyEBarnett,1,0,1,1,3,0,0
1645051140,Mohamme15862197,Mohamme15862197,1,1,0,1,3,0,0.024711015
2263281214,3krmh_11,3krmh_11,1,0,1,1,3,0,0
2802544191,adnanh_h,adnanh_h,1,5,0,5,3,0.5,0.121269307
2478101123,ahmad_sherwan,ahmad_sherwan,1,1,0,1,3,0,0.024711015
486895455,aliimran2991991,aliimran2991991,1,2,0,2,3,0.5,0.058102608
2663901169,seyfshishani,seyfshishani,1,1,0,1,3,0,0.024711015
557543336,abdulaziztarefe,abdulaziztarefe,1,0,2,2,3,0.5,0
